ID,Cost,Name,Type,Description,Appearance,Character,Rarity,Exhaust,Upgrade,Damage,Block
0,1,Absolute Blast,Attack,Exhaust a card from your hand. Damage 15.,,All,Common,TRUE,FALSE,15,0
1,1,Absolute Blast +,Attack,Exhaust a card from your hand. Damage 18.,,All,Common,TRUE,TRUE,18,0
2,1,Absolute Shield,Skill,Exhaust a card from your hand. Block 10.,,All,Common,TRUE,FALSE,0,10
3,1,Absolute Shield +,Skill,Exhaust a card from your hand. Block 12.,,All,Common,TRUE,TRUE,0,12
4,1,Afterburner,Attack,"Damage 8 all enemies, Shuffle a Burn into your Discard pile.",,Explorer,Common,FALSE,FALSE,8,0
5,1,Afterburner +,Attack,"Damage 11 all enemies, Shuffle a burn into your Discard pile.",,Explorer,Common,FALSE,TRUE,11,0
6,1,Barrier Bash,Attack,Damage equal to your Block.,,Explorer,Common,FALSE,FALSE,0,0
7,0,Barrier Bash +,Attack,Damage equal to your Block.,,Explorer,Common,FALSE,TRUE,0,0
8,0,Battle Analysis,Skill,Draw 2. Exhaust.,,All,Common,TRUE,FALSE,0,0
9,0,Battle Analysis +,Skill,Draw 3. Exhaust.,,All,Common,TRUE,TRUE,0,0
10,2,Blind Blasts,Attack,Damage 6 a random enemy three times. Block 6.,,Explorer,Common,FALSE,FALSE,6,6
11,2,Blind Blasts +,Attack,Damage 9 a random enemy three times. Block 9.,,Explorer,Common,FALSE,TRUE,9,9
12,1,Brute Defense,Skill,Gain 6 Block. Increases with Fortitude and Strength.,,Extinct,Common,FALSE,FALSE,0,6
13,1,Brute Defense +,Skill,Gain 8 Block. Increases with Fortitude and Strength.,,Extinct,Common,FALSE,TRUE,0,8
14,1,Cripple,Attack,Damage 9. Apply 1 Weak,,Explorer,Common,FALSE,FALSE,9,0
15,1,Cripple +,Attack,Damage 12. Apply 2 Weak,,Explorer,Common,FALSE,TRUE,12,0
16,1,Decisive Action,Skill,"If the enemy's intent is to Attack, Block 8, otherwise, Draw 2",,Explorer,Common,FALSE,FALSE,0,8
17,1,Decisive Action +,Skill,"If the enemy's intent is to Attack, Block 11, otherwise, Draw 3",,Explorer,Common,FALSE,TRUE,0,11
18,1,Double Blast,Attack,Damage 5 twice.,,Explorer,Common,FALSE,FALSE,5,0
19,1,Double Blast +,Attack,Damage 8 twice.,,Explorer,Common,FALSE,TRUE,8,0
20,2,Feint,Attack,Damage 6. Gain Thorns this turn equal to unblocked Damage dealt.,,All,Common,FALSE,FALSE,6,0
21,2,Feint +,Attack,Damage 8. Gain Thorns this turn equal to unblocked Damage dealt.,,All,Common,FALSE,TRUE,8,0
22,2,Ionize,Skill,Block 5 and Apply 2 Weak for each Status card in your hand.,,Explorer,Common,FALSE,FALSE,0,5
23,1,Ionize +,Skill,Block 5 and Apply 2 Weak for each Status card in your hand.,,Explorer,Common,FALSE,TRUE,0,5
24,2,Martial Arts,Attack,"Damage 1 a random enemy 4 times. For each time, apply 1 Weak, apply 1 Vulnerable, gain 2 temporary Thorns, or Block 2.",,Extinct,Common,FALSE,FALSE,4,2
25,2,Martial Arts +,Attack,"Damage 1 a random enemy 5 times. For each time, apply 1 Weak, apply 1 Vulnerable, gain 2 temporary Thorns, or Block 2.",,Extinct,Common,FALSE,TRUE,5,2
26,1,Microwave,Attack,Damage 6 + 6 for each Status card in your hand.,,Explorer,Common,FALSE,FALSE,6,0
27,1,Microwave +,Attack,Damage 6 + 6 for each Status card in your deck.,,Explorer,Common,FALSE,TRUE,6,0
28,1,None of the Above,Skill,Exhaust the rest of your hand. Draw that many cards.,,All,Common,TRUE,FALSE,0,0
29,0,None of the Above +,Skill,Exhaust the rest of your hand. Draw that many cards.,,All,Common,TRUE,TRUE,0,0
30,1,Overheated Core,Attack,"If there is a Burn in your hand, Damage 12, otherwise, add 2 Burns to your Draw pile.",,Explorer,Common,FALSE,FALSE,12,0
31,1,Overheated Core +,Attack,"If there is a Burn in your hand, Damage 16, otherwise, add 2 Burns to your Draw pile.",,Explorer,Common,FALSE,TRUE,16,0
32,1,Overshield,Skill,Block 4. Your Block will carry over to the next turn.,,Explorer,Common,FALSE,FALSE,0,4
33,1,Overshield +,Skill,Block 7. Your Block will carry over to the next turn.,,Explorer,Common,FALSE,TRUE,0,7
34,1,Phalanx Formation,Attack,Damage 6. Block 6.,,Explorer,Common,FALSE,FALSE,6,6
35,1,Phalanx Formation +,Attack,Damage 9. Block 9.,,Explorer,Common,FALSE,TRUE,9,9
36,0,Quick Draw,Attack,Damage 5. Draw 1.,,Explorer,Common,FALSE,FALSE,5,0
37,0,Quick Draw +,Attack,Damage 5. Draw 2.,,Explorer,Common,FALSE,TRUE,5,0
38,1,Reactive Blast,Attack,"Damage 5, Apply 1 Weak, if the enemy intends to attack, do this twice.",,Explorer,Common,FALSE,FALSE,5,0
39,1,Reactive Blast +,Attack,"Damage 8, Apply 1 Weak, if the enemy intends to attack, do this twice.",,Explorer,Common,FALSE,TRUE,8,0
40,1,Reassess,Skill,Discard any number of cards from your hand. Draw that many. Exhaust.,,All,Common,TRUE,FALSE,0,0
41,1,Reassess +,Skill,Discard any number of cards from your hand. Draw that many.,,All,Common,FALSE,TRUE,0,0
42,1,Recharge,Skill,Discard a card from your hand. Gain 2 O2.,,Explorer,Common,FALSE,FALSE,0,0
43,0,Recharge +,Skill,Discard a card from your hand. Gain 2 O2.,,Explorer,Common,FALSE,TRUE,0,0
44,1,Reflective Barrier,Skill,Block 6. Gain 2 Thorns.,,Explorer,Common,FALSE,FALSE,0,6
45,1,Reflective Barrier,Skill,Block 9. Gain 2 Thorns.,,Explorer,Common,FALSE,FALSE,0,9
46,1,Riposte,Attack,Damage 8. Increases with Strength and Fortitude.,,Extinct,Common,FALSE,FALSE,8,0
47,1,Riposte +,Attack,Damage 10. Increases with Strength and Fortitude.,,Extinct,Common,FALSE,TRUE,10,0
48,0,Scorn,Attack,Damage 6 each enemy intending to attack you.,,Extinct,Common,FALSE,FALSE,6,0
49,0,Scorn +,Attack,Damage 6 each enemy intending to attack you. Draw 1.,,Extinct,Common,FALSE,TRUE,6,0
50,1,Scout,Skill,Lookout 4.,,Explorer,Common,FALSE,FALSE,0,0
51,1,Scout +,Skill,Lookout 4. Draw 1.,,Explorer,Common,FALSE,TRUE,0,0
52,1,Shieldcracker,Attack,"If the target has Block, Damage 20. Otherwise, Damage 10.",,All,Common,FALSE,FALSE,10,0
53,1,Shieldcracker +,Attack,"If the target has Block, Damage 24. Otherwise, Damage 12.",,All,Common,FALSE,TRUE,12,0
54,1,Spear Slash,Attack,"Deal 10 Damage. If the enemy had Block, Block equal to the unblocked damage dealt.",,Extinct,Common,FALSE,FALSE,10,0
55,1,Spear Slash +,Attack,"Deal 12 Damage. If the enemy had Block, Block equal to the unblocked damage dealt.",,Extinct,Common,FALSE,TRUE,10,0
56,1,Through The Wastes,Skill,Block 1 for each card in hand. Discard your hand and draw that many cards. Shuffle 2 Radiactive Waste into your Draw Pile,,Explorer,Common,FALSE,FALSE,0,1
57,0,Through The Wastes +,Skill,Block 1 for each card in hand. Discard your hand and draw that many cards. Shuffle 2 Radiactive Waste into your Draw Pile,,Explorer,Common,FALSE,TRUE,0,1
58,2,Underhanded Blow ,Attack,Damage 8 for each card discarded this turn.,,Explorer,Common,FALSE,FALSE,8,0
59,2,Underhanded Blow + ,Attack,Discard 1 from your hand. Damage 8 for each card discarded this turn.,,Explorer,Common,FALSE,TRUE,8,0
60,1,Wait For It,Skill,Give a card in your hand Retain for this combat. Draw a card. Exhaust.,,All,Common,TRUE,FALSE,0,0
61,1,Wait For It +,Skill,Give up to 2 cards in your hand Retain for this combat. Draw a card. Exhaust.,,All,Common,TRUE,TRUE,0,0
62,0,A New Battle,Attack,"Damage 14 all enemies, gain 1 Fortitude for each enemy.",,Explorer,Created,FALSE,FALSE,14,0
63,0,A New Battle +,Attack,"Damage 20 all enemies, gain 1 Fortitude for each enemy.",,Explorer,Created,FALSE,TRUE,20,0
64,0,Carapace Shield,Skill,Retain. Block equal to 3 times the number of Attacks played this turn (Currently: X),,All,Created,FALSE,FALSE,0,0
65,0,Carapace Stab,Attack,Retain. Damage equal to 4 times the number of Skills played this turn (Currently: X),,All,Created,FALSE,FALSE,0,0
66,3,Punch!,Attack,Damage 60.,,Extinct,Created,FALSE,FALSE,60,0
67,3,Punch! +,Attack,Damage 72.,,Extinct,Created,FALSE,TRUE,72,0
68,2,Two,Attack,Damage 30. Transform me into Punch! after playing me.,,Extinct,Created,FALSE,FALSE,30,0
69,2,Two +,Attack,Damage 36. Transform me into Punch! after playing me.,,Extinct,Created,FALSE,TRUE,36,0
70,2,All In,Skill,"Lose all Block and you can't Block this turn. Until the end of your turn, whenever you take damage, gain that many Thorns.",,Extinct,Legendary,FALSE,FALSE,0,0
71,1,All In +,Skill,"Lose all Block and you can't Block this turn. Until the end of your turn, whenever you take damage, gain that many Thorns.",,Extinct,Legendary,FALSE,TRUE,0,0
72,3,Breathing Exercises ,Power,Your remaining O2 is carried over between turns.,,Explorer,Legendary,FALSE,FALSE,0,0
